,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
79,41,0,65,3194279,1,,,,,,
87,41,1,65,3516325,1,5.0,5.0,,,,
107,41,1,65,4551749,1,5.0,5.0,,,,
110,41,1,65,4782814,1,5.0,5.0,,,,
122,41,1,65,5686004,1,5.0,5.0,,,,
1,41,0,34,86400,1,,,,,,
10,41,0,34,169247,1,,,,,,
31,41,1,34,374986,1,5.0,5.0,,,,
50,41,1,34,585647,1,5.0,5.0,,,,
51,41,0,34,588261,1,,,,,,
4,41,0,37,127838,1,,,,,,
84,41,1,40,3329197,1,5.0,5.0,,,,
236,41,0,45,12791955,1,,,,,,
249,41,0,45,12922810,1,,,,,,
271,41,1,45,13137446,1,5.0,3.0,,,,
233,41,1,47,12783297,1,5.0,3.0,,,,
62,41,1,0,700042,1,5.0,5.0,,,,
78,41,1,0,3056926,1,5.0,5.0,,,,
89,41,0,0,3659034,1,,,,,,
520,41,6,70,24733606,3,4.0,3.0,,,,
41,41,0,39,494408,1,,,,,,
72,41,0,39,2811368,1,,,,,,
63,65,1,41,1539767,1,5.0,5.0,,,,
64,65,0,41,1815123,1,,,,,,
66,65,0,41,2219841,1,,,,,,
69,65,0,41,2531012,1,,,,,,
127,65,1,41,5830690,1,5.0,5.0,,,,
14,34,1,41,218423,1,5.0,5.0,,,,
17,34,1,41,236079,1,5.0,5.0,,,,
26,34,1,41,345461,1,5.0,5.0,,,,
5,34,1,37,137358,1,5.0,5.0,,,,
220,34,1,43,12521043,1,5.0,3.0,,,,
12,37,1,41,183172,1,5.0,5.0,,,,
20,37,0,41,268112,1,,,,,,
34,37,0,41,401565,1,,,,,,
9,37,0,34,158428,1,,,,,,
239,37,0,43,12810402,1,,,,,,
295,37,0,47,13495384,1,,,,,,
70,40,0,41,2606356,1,,,,,,
101,40,1,41,4270052,1,5.0,5.0,,,,
30,40,0,0,368628,1,,,,,,
71,40,0,0,2728873,1,,,,,,
99,40,1,0,4154217,1,5.0,5.0,,,,
126,40,0,0,5775248,1,,,,,,
136,40,1,0,6786345,1,5.0,5.0,,,,
67,40,0,39,2274508,1,,,,,,
68,40,1,39,2299346,1,5.0,5.0,,,,
81,40,0,39,3253335,1,,,,,,
92,40,0,39,4053111,1,,,,,,
111,40,0,39,4886159,1,,,,,,
431,43,0,41,22989881,1,,,,,,
450,43,1,41,23479630,1,3.0,5.0,,,,
449,45,1,41,23440550,1,3.0,5.0,,,,
470,47,0,41,24046907,1,,,,,,
533,47,0,41,25033701,1,,,,,,
499,47,0,43,24454340,1,,,,,,
473,39,6,70,24128806,3,4.0,3.0,,,,
391,73,6,70,17994406,3,0.0,3.0,,,,
396,73,6,76,19204006,4,3.0,2.0,,,,
408,73,6,71,21968806,2,2.0,0.0,,,,
397,74,6,70,19636006,1,0.0,3.0,,,,
405,74,6,71,21796006,2,2.0,0.0,,,,
393,75,6,70,18685606,5,0.0,3.0,,,,
406,75,6,71,21882406,1,2.0,0.0,,,,
210,77,6,70,12464806,1,4.0,3.0,,,,
290,77,6,81,13415206,2,3.0,1.0,,,,
332,78,6,70,14020006,4,4.0,3.0,,,,
379,78,6,76,15661606,4,1.0,2.0,,,,
277,79,6,70,13242406,3,4.0,3.0,,,,
372,79,6,69,15056806,3,2.0,4.0,,,,
192,80,6,70,12292006,1,4.0,3.0,,,,
382,80,6,69,15834406,5,2.0,4.0,,,,
624,85,6,71,28794406,4,1.0,0.0,,,,
632,85,6,72,30832006,3,3.0,5.0,,,,
625,86,6,71,29399206,5,1.0,0.0,,,,
633,86,6,72,31004806,3,3.0,5.0,,,,
622,87,6,71,27844006,2,1.0,0.0,,,,
628,87,6,72,30054406,1,3.0,5.0,,,,
383,82,6,69,16871206,5,2.0,4.0,,,,
