,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
110,524153,3,605235,15507864,1.0,,,,,,
170,549840,0,524153,28001444,1.0,,,,,,
119,549840,0,477657,17222207,1.0,,,,,,
8,549840,0,619322,1674004,1.0,,,,,,
126,631903,0,524153,19962775,1.0,,,,,,
128,631903,0,530990,20238675,1.0,,,,,,
79,483784,1,549840,10909120,1.0,0.0,5.0,32.2503,-40.4067,22.5232,151.855
25,483784,1,619322,4699152,1.0,0.0,3.0,32.2503,-40.4067,-24.2286,-111.12899999999999
52,483784,1,561819,7920737,1.0,0.0,1.0,32.2503,-40.4067,-27.4766,-14.6148
1,594308,0,549840,105656,1.0,,,,,,
118,594308,1,549840,17145053,1.0,2.0,5.0,-24.1761,93.8902,22.5232,151.855
73,594308,1,631903,9699658,1.0,2.0,5.0,-24.1761,93.8902,25.5535,153.235
132,594308,0,631903,20774327,1.0,,,,,,
14,594308,1,477657,2053209,1.0,2.0,4.0,-24.1761,93.8902,-1.17279,-170.646
166,594308,1,561819,26279498,1.0,2.0,1.0,-24.1761,93.8902,-27.4766,-14.6148
17,594308,6,616453,3283200,1.0,2.0,5.0,-22.0,91.0,22.0,156.0
145,594308,6,561157,23587200,4.0,2.0,0.0,-22.0,91.0,33.0,-41.0
74,594308,6,509607,10713600,1.0,2.0,4.0,-22.0,91.0,1.0,-165.0
120,477657,1,619322,17631014,1.0,4.0,3.0,-1.17279,-170.646,-24.2286,-111.12899999999999
184,561819,0,619322,29126902,1.0,,,,,,
86,573137,0,594308,13494250,1.0,,,,,,
