,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
77,67,0,47,3046943,1,,,,,,
82,67,0,47,3274683,1,,,,,,
91,67,0,47,3961182,1,,,,,,
74,67,0,39,2918105,1,,,,,,
80,67,0,39,3239797,1,,,,,,
173,67,2,657187,9519349,300,,,,,,
185,67,2,657187,11623738,100,,,,,,
188,67,2,657187,11775168,100,,,,,,
307,67,2,657187,13629169,300,,,,,,
360,67,2,657187,14475818,600,,,,,,
373,67,2,657187,15251393,300,,,,,,
375,67,2,657187,15278449,600,,,,,,
386,67,2,657187,17295721,800,,,,,,
398,67,2,657187,19649264,300,,,,,,
150,47,0,67,8133038,1,,,,,,
165,47,0,67,9000765,1,,,,,,
176,47,0,67,9726589,1,,,,,,
181,47,0,67,10330246,1,,,,,,
183,47,0,67,11077036,1,,,,,,
139,39,0,67,7312933,1,,,,,,
174,39,3,657187,9519349,300,,,,,,
76,39,0,66,2988949,1,,,,,,
129,39,0,40,6040991,1,,,,,,
106,65,1,40,4496982,1,5.0,5.0,,,,
83,65,1,0,3305014,1,5.0,5.0,,,,
84,41,1,40,3329197,1,5.0,5.0,,,,
79,41,0,65,3194279,1,,,,,,
173,67,2,657187,9519349,300,,,,,,
185,67,2,657187,11623738,100,,,,,,
188,67,2,657187,11775168,100,,,,,,
307,67,2,657187,13629169,300,,,,,,
360,67,2,657187,14475818,600,,,,,,
373,67,2,657187,15251393,300,,,,,,
375,67,2,657187,15278449,600,,,,,,
386,67,2,657187,17295721,800,,,,,,
398,67,2,657187,19649264,300,,,,,,
74,67,0,39,2918105,1,,,,,,
80,67,0,39,3239797,1,,,,,,
93,67,0,39,4070126,1,,,,,,
77,67,0,47,3046943,1,,,,,,
82,67,0,47,3274683,1,,,,,,
174,39,3,657187,9519349,300,,,,,,
186,39,3,657187,11623738,100,,,,,,
189,39,3,657187,11775168,100,,,,,,
308,39,3,657187,13629169,300,,,,,,
361,39,3,657187,14475818,600,,,,,,
374,39,3,657187,15251393,300,,,,,,
376,39,3,657187,15278449,600,,,,,,
139,39,0,67,7312933,1,,,,,,
148,39,0,67,8104116,1,,,,,,
152,39,0,67,8329065,1,,,,,,
158,39,0,67,8457147,1,,,,,,
161,39,0,67,8734801,1,,,,,,
178,39,0,67,10119416,1,,,,,,
182,39,0,67,10872933,1,,,,,,
150,47,0,67,8133038,1,,,,,,
470,47,0,41,24046907,1,,,,,,
499,47,0,43,24454340,1,,,,,,
246,47,1,45,12891925,1,3.0,3.0,,,,
203,41,1,43,12376404,1,5.0,3.0,,,,
238,41,0,43,12804335,1,,,,,,
236,41,0,45,12791955,1,,,,,,
249,41,0,45,12922810,1,,,,,,
271,41,1,45,13137446,1,5.0,3.0,,,,
62,41,1,0,700042,1,5.0,5.0,,,,
78,41,1,0,3056926,1,5.0,5.0,,,,
4,41,0,37,127838,1,,,,,,
8,41,1,37,149161,1,5.0,5.0,,,,
84,41,1,40,3329197,1,5.0,5.0,,,,
102,41,1,40,4277208,1,5.0,5.0,,,,
63,65,1,41,1539767,1,5.0,5.0,,,,
64,65,0,41,1815123,1,,,,,,
83,65,1,0,3305014,1,5.0,5.0,,,,
14,34,1,41,218423,1,5.0,5.0,,,,
289,34,0,58,13413050,1,,,,,,
239,37,0,43,12810402,1,,,,,,
314,56,1,45,13785456,1,0.0,3.0,,,,
326,56,1,45,13970640,1,0.0,3.0,,,,
218,56,1,37,12492175,1,0.0,5.0,,,,
283,56,0,57,13338586,1,,,,,,
