Event Generated Time (UTC),Event ID,Event Description,Event Category,Threat Target IPv4 Address,Action Taken,Agent GUID
7/31/13 9:01:26 PM,18000,Host intrusion detected and handled,File system,144.170.91.13,Blocked,CE427382-2170-4177-A58A-EAAC5620AC3E
7/31/13 9:00:32 PM,18000,Host intrusion detected and handled,File system,12.205.21.13,Blocked,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/31/13 8:57:36 PM,18000,Host intrusion detected and handled,Program,12.205.13.102,Permitted,DDB992D4-FC2D-4B88-8282-469566BE1E79
7/31/13 8:55:56 PM,18000,Host intrusion detected and handled,File system,144.170.91.13,Blocked,CE427382-2170-4177-A58A-EAAC5620AC3E
7/31/13 8:55:48 PM,18000,Host intrusion detected and handled,File system,104.12.21.13,Blocked,81EBB9CF-56ED-4C5D-9E2C-C509965ED9E6
7/31/13 8:55:33 PM,18000,Host intrusion detected and handled,File system,12.205.21.13,Blocked,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/31/13 8:52:42 PM,18000,Host intrusion detected and handled,Program,12.205.13.101,Permitted,4B9C2FB2-8EC7-48C2-BBE4-B61D2270AC66
7/31/13 8:52:39 PM,18000,Host intrusion detected and handled,Program,12.205.13.109,Permitted,032B7573-1E34-4F62-8BD0-B5D4B81648F6
7/31/13 8:51:26 PM,18000,Host intrusion detected and handled,File system,144.170.91.13,Blocked,CE427382-2170-4177-A58A-EAAC5620AC3E
7/31/13 8:50:50 PM,18000,Host intrusion detected and handled,File system,104.12.21.13,Blocked,81EBB9CF-56ED-4C5D-9E2C-C509965ED9E6
7/31/13 8:50:31 PM,18000,Host intrusion detected and handled,File system,12.205.21.13,Blocked,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/31/13 8:48:18 PM,18000,Host intrusion detected and handled,Program,12.205.15.106,Permitted,7C84F4CD-2B59-4EF6-834A-B34D69B1F0E3
7/31/13 8:46:25 PM,18000,Host intrusion detected and handled,File system,144.170.91.13,Blocked,CE427382-2170-4177-A58A-EAAC5620AC3E
7/31/13 8:45:48 PM,18000,Host intrusion detected and handled,File system,104.12.21.13,Blocked,81EBB9CF-56ED-4C5D-9E2C-C509965ED9E6
7/31/13 8:45:46 PM,18000,Host intrusion detected and handled,Program,104.12.13.105,Permitted,0581AB3B-4C95-4137-A9AE-E9B3F7BE4192
7/31/13 8:45:33 PM,18000,Host intrusion detected and handled,File system,12.205.21.13,Blocked,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/31/13 8:44:29 PM,18000,Host intrusion detected and handled,Program,12.205.14.103,Permitted,971D8C72-A82D-444F-A48C-DFAF129FAB54
7/31/13 8:44:01 PM,18000,Host intrusion detected and handled,File system,12.205.21.13,Blocked,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/31/13 8:41:23 PM,18000,Host intrusion detected and handled,File system,144.170.91.13,Blocked,CE427382-2170-4177-A58A-EAAC5620AC3E
7/31/13 8:40:47 PM,18000,Host intrusion detected and handled,File system,104.12.21.13,Blocked,81EBB9CF-56ED-4C5D-9E2C-C509965ED9E6
7/31/13 8:40:32 PM,18000,Host intrusion detected and handled,File system,12.205.21.13,Blocked,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/31/13 8:35:57 PM,18000,Host intrusion detected and handled,File system,144.170.91.13,Blocked,CE427382-2170-4177-A58A-EAAC5620AC3E
7/31/13 8:35:50 PM,18000,Host intrusion detected and handled,File system,104.12.21.13,Blocked,81EBB9CF-56ED-4C5D-9E2C-C509965ED9E6
7/31/13 8:35:30 PM,18000,Host intrusion detected and handled,File system,12.205.21.13,Blocked,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/31/13 8:34:07 PM,18000,Host intrusion detected and handled,Program,104.12.11.101,Permitted,663380B0-F5F4-4D99-9AF1-42159DDEA78A
7/31/13 8:33:46 PM,18000,Host intrusion detected and handled,Program,104.12.13.101,Permitted,7E0F2FB8-7B8E-4691-95A1-191A4B4B1797
7/31/13 8:32:21 PM,18000,Host intrusion detected and handled,File system,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/31/13 8:31:24 PM,18000,Host intrusion detected and handled,File system,144.170.91.13,Blocked,CE427382-2170-4177-A58A-EAAC5620AC3E
7/31/13 8:30:50 PM,18000,Host intrusion detected and handled,File system,104.12.21.13,Blocked,81EBB9CF-56ED-4C5D-9E2C-C509965ED9E6
7/31/13 8:30:32 PM,18000,Host intrusion detected and handled,File system,12.205.21.13,Blocked,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/31/13 8:29:51 PM,18000,Host intrusion detected and handled,Program,104.12.11.101,Permitted,663380B0-F5F4-4D99-9AF1-42159DDEA78A
7/31/13 8:27:43 PM,18000,Host intrusion detected and handled,Program,104.12.14.102,Permitted,20554CA3-33D9-45E4-BA4D-6500FE443E63
7/31/13 8:26:27 PM,18000,Host intrusion detected and handled,Program,12.205.15.102,Permitted,C1BB06D5-D468-47C2-8A48-727BE8C2A9FF
7/31/13 8:26:22 PM,18000,Host intrusion detected and handled,File system,144.170.91.13,Blocked,CE427382-2170-4177-A58A-EAAC5620AC3E
7/31/13 8:26:21 PM,18000,Host intrusion detected and handled,Program,104.12.13.103,Permitted,68A97A6B-2FCC-48B4-A9D3-7D86016C4926
7/31/13 8:26:12 PM,18000,Host intrusion detected and handled,Program,144.170.31.109,Permitted,177B7827-73C2-4334-B995-B35A9B0D738C
7/31/13 8:26:03 PM,18000,Host intrusion detected and handled,Program,144.170.31.109,Permitted,177B7827-73C2-4334-B995-B35A9B0D738C
7/31/13 8:25:52 PM,18000,Host intrusion detected and handled,File system,104.12.21.13,Blocked,81EBB9CF-56ED-4C5D-9E2C-C509965ED9E6
7/31/13 8:25:31 PM,18000,Host intrusion detected and handled,File system,12.205.21.13,Blocked,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/31/13 8:24:34 PM,18000,Host intrusion detected and handled,Program,104.12.14.104,Permitted,28A9C81B-7DF4-42E7-B4DF-61807FB74B3D
7/31/13 8:21:24 PM,18000,Host intrusion detected and handled,File system,144.170.91.13,Blocked,CE427382-2170-4177-A58A-EAAC5620AC3E
7/31/13 8:20:47 PM,18000,Host intrusion detected and handled,File system,104.12.21.13,Blocked,81EBB9CF-56ED-4C5D-9E2C-C509965ED9E6
