Country Name,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Afghanistan,AFG,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Angola,AGO,Income share held by lowest 20%,SI.DST.FRST.20,,,,5.4,,,,,,,
Albania,ALB,Income share held by lowest 20%,SI.DST.FRST.20,8.4,,,8.9,,,,8.9,,7,7.7
Andorra,AND,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Arab World,ARB,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
United Arab Emirates,ARE,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,6.2,
Argentina,ARG,Income share held by lowest 20%,SI.DST.FRST.20,3.7,3.7,3.9,4,4.1,4.1,4.8,5,5,5,
Armenia,ARM,Income share held by lowest 20%,SI.DST.FRST.20,8.1,8.9,8.4,9.1,9.4,9.1,9,9,8.6,8.4,8.2
American Samoa,ASM,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Antigua and Barbuda,ATG,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Australia,AUS,Income share held by lowest 20%,SI.DST.FRST.20,,,,7.2,,7.3,,,,7.4,
Austria,AUT,Income share held by lowest 20%,SI.DST.FRST.20,8.8,8.6,8,8,7.7,8,7.8,7.8,8.1,8,7.9
Azerbaijan,AZE,Income share held by lowest 20%,SI.DST.FRST.20,10.8,,,,,,,,,,
Burundi,BDI,Income share held by lowest 20%,SI.DST.FRST.20,,8.9,,,,,,,6.9,,
Belgium,BEL,Income share held by lowest 20%,SI.DST.FRST.20,8.7,8.7,8.6,8.7,8.5,8.6,8.6,8.7,8.6,8.6,8.6
Benin,BEN,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,6.1,,,,3.2
Burkina Faso,BFA,Income share held by lowest 20%,SI.DST.FRST.20,,,,,6.7,,,,,8.3,
Bangladesh,BGD,Income share held by lowest 20%,SI.DST.FRST.20,8.8,,,,,8.9,,,,,
Bulgaria,BGR,Income share held by lowest 20%,SI.DST.FRST.20,,5.7,6.5,6.9,6.8,6.3,6.4,6.2,5.7,6,5.3
Bahrain,BHR,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
"Bahamas, The",BHS,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Income share held by lowest 20%,SI.DST.FRST.20,,,7.5,,,,7.5,,,,
Belarus,BLR,Income share held by lowest 20%,SI.DST.FRST.20,8.9,8.8,8.6,9,9.1,8.8,9.1,9.5,9.5,9.3,9.7
Belize,BLZ,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Bermuda,BMU,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Bolivia,BOL,Income share held by lowest 20%,SI.DST.FRST.20,2,2.3,2.9,3.2,3.2,,3.8,3.4,3.6,3.8,3.9
Brazil,BRA,Income share held by lowest 20%,SI.DST.FRST.20,2.9,3,3,3.2,3.2,,3.3,3.3,3.5,3.6,3.6
Barbados,BRB,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Brunei Darussalam,BRN,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Bhutan,BTN,Income share held by lowest 20%,SI.DST.FRST.20,,,6.7,,,,,6.7,,,
Botswana,BWA,Income share held by lowest 20%,SI.DST.FRST.20,,,,,2.8,,,,,,3.9
Central African Republic,CAF,Income share held by lowest 20%,SI.DST.FRST.20,,,,3.3,,,,,,,
Canada,CAN,Income share held by lowest 20%,SI.DST.FRST.20,,,7.2,,,7.2,,,6.7,,
Central Europe and the Baltics,CEB,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Switzerland,CHE,Income share held by lowest 20%,SI.DST.FRST.20,,7.4,7.4,7.5,7.8,7.8,7.9,8.1,7.9,7.8,7.8
Channel Islands,CHI,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Chile,CHL,Income share held by lowest 20%,SI.DST.FRST.20,,5,,,5.2,,5.3,,5.5,,5.7
China,CHN,Income share held by lowest 20%,SI.DST.FRST.20,5.8,,,5.2,,5.1,5.4,5.3,6.2,6.2,6.4
Cote d'Ivoire,CIV,Income share held by lowest 20%,SI.DST.FRST.20,,,,5.1,,,,,,,5.7
Cameroon,CMR,Income share held by lowest 20%,SI.DST.FRST.20,,,5.8,,,,,,,4.5,
"Congo, Dem. Rep.",COD,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,5.5,,,
"Congo, Rep.",COG,Income share held by lowest 20%,SI.DST.FRST.20,4.9,,,,,,4.2,,,,
Colombia,COL,Income share held by lowest 20%,SI.DST.FRST.20,3.6,,,3,3.3,3.3,3.5,3.5,3.5,3.5,3.8
Comoros,COM,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,4.5,
Cabo Verde,CPV,Income share held by lowest 20%,SI.DST.FRST.20,,,5,,,,,,,,5.7
Costa Rica,CRI,Income share held by lowest 20%,SI.DST.FRST.20,4.2,4.1,4.3,4.3,4,4.5,4.2,4.2,4.1,4.2,4.3
Caribbean small states,CSS,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Cuba,CUB,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Curacao,CUW,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Cayman Islands,CYM,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Cyprus,CYP,Income share held by lowest 20%,SI.DST.FRST.20,8.9,8.8,8.7,8.6,8.5,8.6,8.4,8,7.7,7.6,7.8
Czech Republic,CZE,Income share held by lowest 20%,SI.DST.FRST.20,9.3,9.3,9.7,9.8,9.6,9.4,9.3,9.6,9.4,9.7,9.7
Germany,DEU,Income share held by lowest 20%,SI.DST.FRST.20,8.1,8.3,8.3,8.4,8.3,8.4,8.5,,8.2,,7.8
Djibouti,DJI,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,4.3,4.9,,
Dominica,DMA,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,
Denmark,DNK,Income share held by lowest 20%,SI.DST.FRST.20,9.8,9.8,9.8,9.8,9.2,9.3,9.4,9.3,9.1,9.1,9.4
