ISO,ID,HORI,BTOP,BBOT,SAMPLENO,PHH2O,PHKCL,PHCACL2,CACO3,CASO4,ORGC,ORGN,C/N,CA,MG,NA,K,SUM,EXACID,EXAL,CECSOIL,CECCLAY,CECORG,ECEC,BS,ALS,ESP,EC,CHEMREM,EDITDATE,VERIFIED
"BR",3,1,0,9,"850172",5.0999999,4.1999998,,,,1.74,0.13,,0.60000002,0.40000001,0.2,0.1,1.3,0.80000001,0.5,4.0999999,8,6.0999999,2.0999999,32,12,,0.039999999,"specific surface = 69 m2/g fine earth","03/02/95 00:00:00",
"BR",3,2,9,36,"850173",4.9000001,4.1999998,,,,1.1799999,0.1,,0.2,0,0.2,0,0.40000001,0.69999999,0.5,3.5,7,4.0999999,1.1,11,14,,0.02,"specific surface = 69 m2/g fine earth","03/02/95 00:00:00",
"BR",3,3,36,72,"850174",4.8000002,4.3000002,,,,0.74000001,0.07,,0,0,0.1,0,0.1,0.5,0.69999999,1.8,3,2.5999999,0.60000002,6,39,,0.02,"specific surface = 70 m2/g fine earth","03/02/95 00:00:00",
"BR",3,4,72,102,"850175",5,4.5,,,,0.51999998,0.050000001,,0.1,0,0,0,0.1,0.2,0.1,1.8,3,1.8,0.30000001,6,6,,0.0099999998,"specific surface = 74 m2/g fine earth","03/02/95 00:00:00",
"BR",3,5,102,147,"850176",5.6999998,5,,,,0.31999999,,,0,0,0.40000001,0,0.40000001,0.1,0,1.8,3,1.1,0.5,22,0,,0.0099999998,"specific surface = 69 m2/g fine earth","03/02/95 00:00:00",
"BR",3,6,147,175,"850177",5.6999998,5.1999998,,,,0.25,,,0,0,0.2,0,0.2,0,0,1.1,2,0.89999998,0.2,18,0,,0.0099999998,"specific surface = 68 m2/g fine earth","03/02/95 00:00:00",
"BR",4,1,0,18,"850178",6.4000001,5.4000001,,0.5,,1.98,0.17,,6.4000001,1.4,0,0.60000002,8.3999996,0.1,0,12,30,6.9000001,8.5,70,0,,0.079999998,"specific surface = 74 m2/g fine earth","03/02/95 00:00:00",
"BR",4,2,18,34,"850179",6.5999999,5.5,,0,,1.14,0.1,,4.9000001,0.69999999,0,0.1,5.6999998,0.1,0,8.1000004,13,4,5.8000002,70,0,,0.039999999,"specific surface = 73 m2/g fine earth","03/02/95 00:00:00",
"BR",4,3,34,56,"850180",6.9000001,5.6999998,,0.2,,0.88999999,0.07,,5.0999999,0.69999999,0.1,0,5.9000001,0,0,7,11,3.0999999,5.9000001,84,0,,0.029999999,"specific surface = 74 m2/g fine earth","03/02/95 00:00:00",
"BR",4,4,56,90,"850181",7,5.9000001,,0.2,,0.75,0.050000001,,4.6999998,0.60000002,0.1,0,5.4000001,0,0,6.0999999,10,2.5999999,5.4000001,89,0,,0.029999999,"specific surface = 73 m2/g fine earth","03/02/95 00:00:00",
"BR",4,5,90,150,"850182",7,6,,0.2,,0.51999998,0.029999999,,3.0999999,1.1,0,0,4.1999998,0,0,4.5,8,1.8,4.1999998,93,0,,0.029999999,"specific surface = 70 m2/g fine earth","03/02/95 00:00:00",
"BR",4,6,150,200,"850183",7,6.0999999,,0.5,,0.34,,,2.4000001,0.5,0.1,0,3,0,0,3.5,6,1.2,3,86,0,,0.039999999,"specific surface = 68 m2/g fine earth","03/02/95 00:00:00",
"BR",5,1,0,26,"850184",4.6999998,4.1999998,,,,2.47,0.18000001,,0.2,0.1,0,0.1,0.40000001,0.80000001,0.69999999,7.6999998,13,8.6000004,1.2,5,9,,0.090000004,"specific surface = 66 m2/g fine earth","03/02/95 00:00:00",
"BR",5,2,26,50,"850185",4.9000001,4.8000002,,,,1.15,0.090000004,,0,0,0.1,0,0.1,0.1,0,3.5999999,6,4,0.2,3,0,,0.02,"specific surface = 63 m2/g fine earth","03/02/95 00:00:00",
"BR",5,3,50,75,"850186",5.4000001,5.0999999,,,,0.88,0.050000001,,0.2,0,0.1,0,0.30000001,0,0,1.4,2,3.0999999,0.30000001,21,0,,0.0099999998,"specific surface = 63 m2/g fine earth","03/02/95 00:00:00",
"BR",5,4,75,215,"850187",5.5999999,5.5,,,,0.80000001,0.039999999,,0,0,0.1,0,0.1,0,0,1.6,3,2.8,0.1,6,0,,0.0099999998,"specific surface = 60 m2/g fine earth","03/02/95 00:00:00",
"BR",5,5,215,250,"850188",5.9000001,5.8000002,,,,0.52999997,0.039999999,,0,0,0.1,0,0.1,0,0,0.69999999,1,1.9,0.1,14,0,,0.0099999998,"specific surface = 57 m2/g fine earth","03/02/95 00:00:00",
"BR",6,1,0,28,"850189",5.1999998,4.0999999,,,,0.82999998,0.050000001,,0.2,0.1,0.1,0.1,0.5,0.80000001,0.69999999,3.3,21,2.9000001,1.3,15,21,,0.039999999,"specific surface = 14 m2/g fine earth","03/02/95 00:00:00",
"BR",6,2,28,56,"850190",5,4,,,,0.49000001,0.07,,0,0,0,0.1,0.1,0.89999998,0.89999998,2.5,13,1.7,1,4,36,,0.02,"specific surface = 14 m2/g fine earth","03/02/95 00:00:00",
"BR",6,3,56,85,"850191",4.8000002,4,,,,0.31,,,0,0,0.1,0,0.1,0.80000001,0.89999998,1.9,9,1.1,0.89999998,5,47,,0.02,"specific surface = 14 m2/g fine earth","03/02/95 00:00:00",
"BR",6,4,85,165,"850192",5,4.0999999,,,,0.22,,,0,0,0,0,0,0.69999999,0.69999999,1.4,6,0.80000001,0.69999999,0,50,,0.0099999998,"specific surface = 14 m2/g fine earth","03/02/95 00:00:00",
"BR",6,5,165,250,"850193",5.0999999,4.1999998,,,,0.11,,,0,0,0.1,0,0.1,0.5,0.60000002,1.6,7,0.40000001,0.60000002,6,38,,0.0099999998,"specific surface = 16 m2/g fine earth","03/02/95 00:00:00",
"BR",7,1,0,15,"850194",6.1999998,5.1999998,,,,2.8399999,0.28,,10.4,2.2,0,1.1,13.7,0,0,17.700001,32,9.8999996,13.7,77,0,,0.20999999,"specific surface = 83 m2/g fine earth","03/02/95 00:00:00",
"BR",7,2,15,30,"850195",6.4000001,5.3000002,,,,1.62,0.18000001,,8,1.5,0,0.5,10,0,0.1,12.2,21,5.6999998,10,82,1,,0.13,"specific surface = 81 m2/g fine earth","03/02/95 00:00:00",
"BR",7,3,30,75,"850196",6.8000002,5.4000001,,1,,0.92000002,0.1,,6.9000001,1.7,0,0.69999999,9.3000002,0,0,11.9,15,3.2,9.3000002,78,0,,0.059999999,"specific surface = 109 m2/g fine earth","03/02/95 00:00:00",
"BR",7,4,75,125,"850197",6.9000001,5.5999999,,1,,0.60000002,0.050000001,,5.8000002,2.0999999,0.1,0.89999998,8.8999996,0,0,10.7,13,2.0999999,8.8999996,83,0,,0.050000001,"specific surface = 113 m2/g fine earth","03/02/95 00:00:00",
"BR",7,5,125,175,"850198",6.8000002,5.5,,1,,0.43000001,,,4.5999999,2.0999999,0,0.60000002,7.3000002,0,0,9,11,1.5,7.3000002,81,0,,0.050000001,"specific surface = 114 m2/g fine earth","03/02/95 00:00:00",
"BR",7,6,175,275,"850199",6.0999999,4.8000002,,,,0.19,,,3.0999999,1.2,0,0.1,4.4000001,0,0,7.6999998,10,0.69999999,4.4000001,57,0,,0.0099999998,"specific surface = 110 m2/g fine earth","03/02/95 00:00:00",
"BR",8,1,0,22,"850200",4.1999998,3.8,,,,2.5799999,0.23,,0.80000001,0.5,0,0.2,1.5,3.5999999,3.8,12.2,15,9,5.0999999,12,31,,0.18000001,"specific surface = 91 m2/g fine earth","03/02/95 00:00:00",
"BR",8,2,22,44,"850201",4.4000001,3.8,,,,1.76,0.17,,0.80000001,0.2,0.2,0.1,1.3,3.5999999,3.7,10.2,12,6.1999998,4.9000001,13,36,,0.059999999,"specific surface = 89 m2/g fine earth","03/02/95 00:00:00",
"BR",8,3,44,65,"850202",4.6999998,3.9000001,,,,1.34,0.1,,1,0.2,0.30000001,0,1.5,2.7,2.7,9,11,4.6999998,4.1999998,17,30,,0.039999999,"specific surface = 88 m2/g fine earth","03/02/95 00:00:00",
"BR",8,4,65,120,"850203",5.0999999,4.1999998,,,,0.75,0.039999999,,0.60000002,0.1,0.1,0,0.80000001,1.4,1.3,7.3000002,9,2.5999999,2.2,11,18,,0.0099999998,"specific surface = 93 m2/g fine earth","03/02/95 00:00:00",
"BR",8,6,310,350,"850205",5.4000001,4.4000001,,,,0.14,,,0.2,0.1,0.1,0,0.40000001,0.40000001,0.30000001,6.0999999,7,0.5,0.80000001,7,5,,0.0099999998,"specific surface = 92 m2/g fine earth","03/02/95 00:00:00",
"BR",8,7,420,450,"850206",5.4000001,4.4000001,,,,0.090000004,,,0.2,0.1,0,0,0.30000001,0.40000001,0.30000001,4.8000002,6,0.30000001,0.69999999,6,6,,0.0099999998,"specific surface = 91 m2/g fine earth","03/02/95 00:00:00",
"BR",8,8,520,550,"850207",5.5,4.3000002,,0,,0.059999999,,,0.2,0.1,0.1,0,0.40000001,0.69999999,0.69999999,7.5,9,0.2,1.1,5,9,,0.0099999998,"specific surface = 93 m2/g fine earth","03/02/95 00:00:00",
"BR",9,1,0,16,"850209",4.4000001,3.9000001,,,,3.6900001,0.22,,0.2,0.2,0.30000001,0.1,0.80000001,4.5999999,4.5,17.9,24,13,5.4000001,4,25,,0.059999999,"specific surface = 113 m2/g fine earth","03/02/95 00:00:00",
